Unnamed: 0,author,statement,source,date,target,BinaryTarget,BinaryNumTarget,Fake,Real
0,Marta Campabadal,“Netflix estrenó una película del Titan el 23 de junio”.,Facebook posts,"June 29, 2023",FALSE,FAKE,0,FAKE,
1,Louis Jacobson,"Says that under his presidency, the unemployment rate has “been below 4% for the longest stretch in 50 years in American history.”",Joe Biden,"June 29, 2023",mostly-true,REAL,1,,REAL
2,Jeff Cercone,"""ONU ordena despenalizar a los"" pedófilos.",Facebook posts,"June 29, 2023",FALSE,FAKE,0,FAKE,
3,Sara Swann,"NASA warns of “internet apocalypse,” which “means they can execute the Great Reset in silence without anyone knowing it.”",Facebook posts,"June 29, 2023",FALSE,FAKE,0,FAKE,
4,Jeff Cercone,"Video suggests COVID-19 vaccines are responsible for breast cancer deaths in women under age 45 rising from 26,000 in 2021 to 297,000 in 2023.",Instagram posts,"June 29, 2023",FALSE,FAKE,0,FAKE,
5,Loreben Tuquero,“The day before 9/11 the Pentagon reported $2.3 trillion missing.”,Instagram posts,"June 29, 2023",FALSE,FAKE,0,FAKE,
6,Tom Kertscher,Kevin McCarthy “announces impeachment proceeding for Biden regime.”,Facebook posts,"June 29, 2023",FALSE,FAKE,0,FAKE,
7,Sofia Bliss-Carrascosa,Video showing someone in military gear outside a Georgia Waffle House proves that Donald Trump is president.,Facebook posts,"June 28, 2023",pants-fire,FAKE,0,FAKE,
8,Sofia Bliss-Carrascosa,“Young Americans across this country are no longer proud to be American.”,Vivek Ramaswamy,"June 28, 2023",half-true,REAL,1,,REAL
9,Grace Abels,"Atrazine in the water supply is contributing to ""sexual dysphoria"" in kids.","Robert F. Kennedy, Jr.","June 28, 2023",FALSE,FAKE,0,FAKE,
10,Marta Campabadal,Los cinco tripulantes del sumergible Titan “estan vivos”.,Facebook posts,"June 27, 2023",FALSE,FAKE,0,FAKE,
11,Nuria Diaz,John F. Kennedy está vivo.,Instagram posts,"June 27, 2023",pants-fire,FAKE,0,FAKE,
12,Maria Briceño,"""Se filtran audios de millonarios diciendo ayuda desesperados” en el sumergible Titan.",Facebook posts,"June 27, 2023",FALSE,FAKE,0,FAKE,
13,Marta Campabadal,Fotos muestran ropa con motivos satánicos en las tiendas Target en 2023.,Facebook posts,"June 27, 2023",FALSE,FAKE,0,FAKE,
14,Jeff Cercone,Audio is of “the knocking they caught from the submarine” that imploded on the way to view the Titanic wreckage.,Facebook posts,"June 27, 2023",FALSE,FAKE,0,FAKE,
15,Maria Briceño,"""Imagenes de los restos encontrados del submarino” Titan de la empresa OceanGate.",Facebook posts,"June 27, 2023",FALSE,FAKE,0,FAKE,
16,Loreben Tuquero,“Donald Trump called up Putin today and made a new deal that will save America.”,Facebook posts,"June 27, 2023",FALSE,FAKE,0,FAKE,
17,Tom Kertscher,Gold fringe on an American flag means “the Constitution is suspended.”,Instagram posts,"June 26, 2023",FALSE,FAKE,0,FAKE,
18,Loreben Tuquero,“Biden administration quietly DROPS all charges against Sam Bankman-Fried.”,Instagram posts,"June 26, 2023",FALSE,FAKE,0,FAKE,
19,Tom Kertscher,NASA space rockets can’t reach space.,Instagram posts,"June 26, 2023",pants-fire,FAKE,0,FAKE,
20,Tom Kertscher,Image shows Donald Trump golfing.,Jared Moskowitz,"June 26, 2023",pants-fire,FAKE,0,FAKE,
21,Louis Jacobson,"“Median income in this country is … $35,000 a year. Because of Joe Biden's inflation, the average monthly expenses have increased by $500, almost.”",Tim Scott,"June 26, 2023",half-true,REAL,1,,REAL
22,Sara Swann,"The Wall Street Journal reported that President Joe Biden knew June 18 that the Titan submersible had imploded, but he withheld the news until June 22.",Social Media,"June 23, 2023",FALSE,FAKE,0,FAKE,
23,Tom Kertscher,NASA faked footage of astronauts on the International Space Station.,Instagram posts,"June 23, 2023",FALSE,FAKE,0,FAKE,
24,Sara Swann,"World Economic Forum “calls for AI to rewrite Bible, create ‘religions that are actually correct’”",Facebook posts,"June 23, 2023",FALSE,FAKE,0,FAKE,
25,Gabrielle Settles,"Rep. Alexandria Ocasio-Cortez “faces 5 Years in Jail For FEC Crimes.""",Facebook posts,"June 23, 2023",FALSE,FAKE,0,FAKE,
26,Loreben Tuquero,"Video shows U.S. Rep. Jim Jordan, R-Ohio, telling U.S. Rep. Adam Schiff, D-Calif., that he is “not even an expert” and shutting him up.",Facebook posts,"June 23, 2023",FALSE,FAKE,0,FAKE,
27,Ciara O'Rourke,"Greta Thunberg said the world would end on June 21, 2023.",Instagram posts,"June 22, 2023",FALSE,FAKE,0,FAKE,
28,Ciara O'Rourke,Video shows Tucker Carlson advertising Affordable Care Act subsidies.,Facebook posts,"June 22, 2023",FALSE,FAKE,0,FAKE,
29,Sofia Bliss-Carrascosa,"""We have plans to build a railroad from the Pacific all the way across the Indian Ocean.""",Joe Biden,"June 22, 2023",FALSE,FAKE,0,FAKE,
30,Ciara O'Rourke,The Titan “submarine never happened. They faked their own deaths.”,Instagram posts,"June 22, 2023",FALSE,FAKE,0,FAKE,
31,Ciara O'Rourke,Video shows Dr. Anthony Fauci getting “confronted on what was exposed about him last night.”,Facebook posts,"June 22, 2023",FALSE,FAKE,0,FAKE,
32,Ciara O'Rourke,Video shows former President Donald Trump saying an impostor is pretending to be President Joe Biden.,Viral image,"June 22, 2023",FALSE,FAKE,0,FAKE,
33,Ciara O'Rourke,The U.S. Department of Agriculture requires anyone with a garden to “register that with the government.”,Instagram posts,"June 22, 2023",FALSE,FAKE,0,FAKE,
34,Loreben Tuquero,Titan submersible passenger Shahzada Dawood is the World Economic Forum’s vice chairman.,Instagram posts,"June 22, 2023",FALSE,FAKE,0,FAKE,
35,Ciara O'Rourke,The Guantanamo Bay detention camp remaining open is proof that Joe Biden is not the president.,Facebook posts,"June 22, 2023",pants-fire,FAKE,0,FAKE,
36,Tom Kertscher,The Pentagon “said we accidentally sent $6.2 billion to Ukraine.”,Facebook posts,"June 22, 2023",FALSE,FAKE,0,FAKE,
37,Maria Briceño,"""Autoridades confirmaron el rescate” del submarino Titan el 21 de junio de 2023.",TikTok posts,"June 22, 2023",FALSE,FAKE,0,FAKE,
38,Ciara O'Rourke,Video shows “CBS Mornings” host Gayle King interviewing Elon Musk about a new project ensuring Canadians “won’t have to work anymore.”,Viral image,"June 22, 2023",FALSE,FAKE,0,FAKE,
39,Amy Sherman,"In 2020 the ballots that were counted ""were fake ballots.""",Donald Trump,"June 22, 2023",pants-fire,FAKE,0,FAKE,
40,Grace Abels,“New California bill charges parents with child abuse for refusing to ‘affirm’ their kid’s gender identity.”,Facebook posts,"June 22, 2023",FALSE,FAKE,0,FAKE,
41,Ciara O'Rourke,“Man sues McDonalds for still being depressed after eating happy meal.”,Viral image,"June 22, 2023",pants-fire,FAKE,0,FAKE,
42,Tom Kertscher,The Titan submersible was found June 21 with all five passengers alive.,Facebook posts,"June 22, 2023",FALSE,FAKE,0,FAKE,
43,Ciara O'Rourke,The five people aboard the Titan submersible “have been found dead.”,Facebook posts,"June 22, 2023",FALSE,FAKE,0,FAKE,
44,Sevana Wenn,"“Think about parents who show up at school board meetings. By this DOJ, they’re called domestic terrorists.”",Tim Scott,"June 22, 2023",FALSE,FAKE,0,FAKE,
45,Tom Kertscher,A lawyer for former President Donald Trump released new proof of 2020 election fraud.,Facebook posts,"June 22, 2023",FALSE,FAKE,0,FAKE,
46,Maria Briceño,"""Mel Gibson ha hecho cuatro documentales tremendos sobre este tema: tráfico de niños"".",Facebook posts,"June 22, 2023",FALSE,FAKE,0,FAKE,
47,Sara Swann,“Monkey virus DNA found in COVID-19 shots”,Facebook posts,"June 21, 2023",FALSE,FAKE,0,FAKE,
48,Ciara O'Rourke,Recent haze in New York City was caused by “Bill Gates’ sun-dimming technology.”,Facebook posts,"June 21, 2023",FALSE,FAKE,0,FAKE,
49,Ciara O'Rourke,Video shows “Mel Gibson exposing Hollywood elites and the satanic child trafficking.”,Facebook posts,"June 21, 2023",FALSE,FAKE,0,FAKE,
50,Maria Briceño,"""Twenty-six out of every 100 students” in K-12 speak Spanish.",Joe Biden,"June 21, 2023",half-true,REAL,1,,REAL
51,Jeff Cercone,Videos and photos of military vehicles are proof of “war prep” and looming military action within the U.S.,Hal Turner Radio Show,"June 21, 2023",FALSE,FAKE,0,FAKE,
52,Amy Sherman,"Photo shows President Joe Biden sitting with “Lisa Monaco, second in charge of the DOJ, probably working on future Plots and Schemes against Republicans.”",Donald Trump,"June 21, 2023",barely-true,FAKE,0,FAKE,
53,Ciara O'Rourke,“Mel Gibson child sex-trafficking documentary blocked by Hollywood!”,Facebook posts,"June 21, 2023",FALSE,FAKE,0,FAKE,
54,Ciara O'Rourke,“Unprecedented UFO landing” in Las Vegas.,Bloggers,"June 21, 2023",FALSE,FAKE,0,FAKE,
55,Ciara O'Rourke,A video shows a child yelling an expletive at President Joe Biden.,Viral image,"June 20, 2023",pants-fire,FAKE,0,FAKE,
56,Loreben Tuquero,"Particulate matter, found in wildfire smoke, has “no effect” on human health and is “total junk science.”",Steve Milloy,"June 20, 2023",FALSE,FAKE,0,FAKE,
57,Maria Briceño,"Una iglesia fue “quemada por un rayo en Boston, EE. UU. durante una ceremonia de boda gay. Este 5 de mayo de 2023, sin sobrevivientes entre los participantes”.",Tweets,"June 20, 2023",FALSE,FAKE,0,FAKE,
58,Tom Kertscher,Former Attorney General Bill Barr “says Donald Trump is a spy.”,Mark Kaye,"June 20, 2023",FALSE,FAKE,0,FAKE,
59,Marta Campabadal,“Arma que EE.UU. le dio a Ucrania es vista en manos de cártel”.,Facebook posts,"• June 20,",FALSE,FAKE,0,FAKE,
60,Maria Briceño,"Científicos descubren que al “consumir 3 tazas de leche diaria, las personas tienen más riesgos de desarrollar cáncer de mama”.",Facebook posts,"June 20, 2023",barely-true,FAKE,0,FAKE,
61,Ciara O'Rourke,“Ringing in your ears can cause total shutdown in under two years” but a pill can make tinnitus disappear.,Facebook posts,"June 19, 2023",FALSE,FAKE,0,FAKE,
62,Jeff Cercone,"Protests of (Sisters of Perpetual Indulgence) at a Los Angeles Dodgers game led to a ""virtually empty stadium for the game itself.”",Ron DeSantis,"June 19, 2023",FALSE,FAKE,0,FAKE,
63,Ciara O'Rourke,Video shows “current weather situation in Karachi.”,Facebook posts,"June 19, 2023",FALSE,FAKE,0,FAKE,
64,Ciara O'Rourke,Video is evidence the moon landing was faked because someone would have had to stay behind to film,Instagram posts,"June 19, 2023",FALSE,FAKE,0,FAKE,
65,Tom Kertscher,"Recent wildfires put more carbon in the atmosphere than ""the human race has put out in the last 100 years.""",Instagram posts,"June 19, 2023",FALSE,FAKE,0,FAKE,
66,Ciara O'Rourke,“Breaking dead DNC leaker has just been identified.”,Facebook posts,"June 19, 2023",FALSE,FAKE,0,FAKE,
67,Ciara O'Rourke,Video shows singer Tim McGraw talking about diet gummies.,Facebook posts,"June 19, 2023",FALSE,FAKE,0,FAKE,
68,Ciara O'Rourke,Video shows Elon Musk talking about an “AI cryptocurrency trading platform” he launched.,Facebook posts,"June 19, 2023",FALSE,FAKE,0,FAKE,
69,Ciara O'Rourke,Video shows former President Donald Trump addressing the nation on June 16.,Facebook posts,"June 19, 2023",FALSE,FAKE,0,FAKE,
70,Ciara O'Rourke,Image shows a fall revealing President Joe Biden’s diaper.,Viral image,"June 19, 2023",pants-fire,FAKE,0,FAKE,
71,Conor Amendola,"A printer error in Nassau County, New York, turned every registered voter Democratic.",Tweets,"June 19, 2023",barely-true,FAKE,0,FAKE,
72,Cameron Carr,"“For every dollar in federal taxes my constituents pay, we get a mere 93 cents back.”",Nick LaLota,"June 19, 2023",mostly-true,REAL,1,,REAL
73,Maria Ramirez,"""Per capita, more Floridians move to California than Californians moving to Florida.”",Gavin Newsom,"June 19, 2023",mostly-true,REAL,1,,REAL
74,Grace Abels,"In the U.S., “a person can be married in the morning and thrown out of a restaurant for being gay in the afternoon.”",Joe Biden,"June 16, 2023",mostly-true,REAL,1,,REAL
75,Marta Campabadal,"""Panico en Moscu Putin anuncia que Ucrania toma la ciudad"".",Facebook posts,"June 19, 2023",pants-fire,FAKE,0,FAKE,
76,Gabrielle Settles,Says a video showing water inside a glass on a spaceflight proves space isn’t real,Instagram posts,"June 16, 2023",FALSE,FAKE,0,FAKE,
